Policyid,policyeffyr,month,underwriter,premium,coverage,irpm,loss ratio,sales manager,state,reason1,reason2,action selected
5993,2011,Apr,Ekow,7635,building,1.4,61%,Ayikple,NC,loss ratio>40%,has irpm,no action
5994,2013,Oct,Kwasi,15079,contents,1.33,2%,Ayikple,NC,,has irpm,add credit
5995,2011,Jun,Kwabena,40905,home,1.89,47%,Dedu,WI,loss ratio>40%,has irpm,no action
5996,2015,Jul,Emefa,21059,building,0.7,11%,Ayikple,KY,,has irpm,add credit
5997,2013,Apr,Abbie,27694,contents,1.56,96%,Ayikple,GA,loss ratio>40%,has irpm,add debit
5998,2015,Jan,Aseda,9885,building,0.99,25%,Ayikple,NY,,has irpm,add credit
5999,2014,Aug,Bella,1566,contents,0.74,64%,Ayikple,NY,loss ratio>40%,has irpm,no action
6000,2012,Nov,Janice,48034,products,1.37,89%,Dedu,TX,loss ratio>40%,has irpm,add debit
6001,2013,Jul,Francis,36481,products,0.51,63%,Dedu,PA,loss ratio>40%,has irpm,no action
6002,2013,Apr,Priscilla,38421,auto,1.52,75%,Odeneho,FL,loss ratio>40%,has irpm,add debit
6003,2011,Nov,Franca,4462,home,0.8,49%,Odeneho,TX,loss ratio>40%,has irpm,no action
6004,2013,Jul,Alex,11954,contents,1.64,39%,Dedu,TN,,has irpm,add credit
6005,2013,Mar,Ama,45089,contents,0.73,63%,Odeneho,WI,loss ratio>40%,has irpm,no action
6006,2010,Jun,Adjoa,45087,auto,1.23,9%,Dedu,PA,,has irpm,add credit
6007,2014,Apr,Ben,47953,contents,0.88,17%,Ayikple,WI,,has irpm,add credit
6008,2013,Feb,Dan,4095,auto,1.04,45%,Dedu,FL,loss ratio>40%,has irpm,no action
6009,2013,Aug,Mina,9120,home,1.14,16%,Odeneho,NC,,has irpm,add credit
6010,2010,Feb,Abena,40409,home,1.51,40%,Dedu,MD,loss ratio>40%,has irpm,no action
6011,2012,Aug,David,5546,contents,0.94,38%,Dedu,GA,,has irpm,add credit
6012,2012,Jan,Ekow,11858,contents,1.73,3%,Dedu,GA,,has irpm,add credit
6013,2010,Feb,Kwasi,11697,products,0.68,63%,Odeneho,FL,loss ratio>40%,has irpm,no action
6014,2010,Oct,Kwabena,42041,auto,1.5,70%,Dedu,NJ,loss ratio>40%,has irpm,add debit
6015,2010,Dec,Emefa,39011,home,0.81,23%,Dedu,TX,,has irpm,add credit
6016,2014,Mar,Abbie,39896,auto,0.96,7%,Dedu,FL,,has irpm,add credit
6017,2013,Dec,Aseda,23433,contents,1.08,70%,Odeneho,VA,loss ratio>40%,has irpm,add debit
6018,2013,Jul,Bella,29005,auto,1.44,7%,Dedu,FL,,has irpm,add credit
6019,2011,Aug,Janice,37611,home,1.09,64%,Ayikple,MD,loss ratio>40%,has irpm,no action
6020,2010,Nov,Francis,34383,auto,0.51,5%,Dedu,WI,,has irpm,add credit
6021,2014,Oct,Priscilla,3336,products,0.74,9%,Ayikple,NY,,has irpm,add credit
6022,2013,Feb,Franca,10341,building,1.74,29%,Odeneho,MN,,has irpm,add credit
6023,2015,Mar,Alex,34743,products,0.92,89%,Ayikple,MD,loss ratio>40%,has irpm,no action
6024,2014,Jun,Ama,23832,contents,1.04,70%,Ayikple,NJ,loss ratio>40%,has irpm,no action
6025,2013,Jul,Adjoa,37170,building,1.91,11%,Dedu,PA,,has irpm,add credit
6026,2015,May,Ben,29264,products,1.71,22%,Dedu,WI,,has irpm,add credit
6027,2010,Aug,Dan,8206,auto,0.84,76%,Dedu,NC,loss ratio>40%,has irpm,no action
6028,2010,Mar,Mina,6796,home,0.73,87%,Ayikple,TN,loss ratio>40%,has irpm,no action
6029,2014,Mar,Abena,48841,auto,1.86,76%,Ayikple,IL,loss ratio>40%,has irpm,add debit
6030,2011,Aug,David,47036,auto,0.99,79%,Dedu,VA,loss ratio>40%,has irpm,no action
6031,2015,Feb,Ekow,14145,products,1.38,33%,Ayikple,IL,,has irpm,add credit
6032,2011,Feb,Kwasi,16243,home,0.75,11%,Ayikple,TX,,has irpm,add credit
6033,2014,Apr,Kwabena,38757,building,0.95,73%,Odeneho,FL,loss ratio>40%,has irpm,no action
6034,2012,Jun,Emefa,36197,products,0.67,55%,Ayikple,SC,loss ratio>40%,has irpm,no action
6035,2013,Mar,Abbie,24283,auto,1.72,33%,Dedu,NC,,has irpm,add credit
6036,2011,Mar,Aseda,46442,products,1,42%,Dedu,NJ,loss ratio>40%,,no action
6037,2011,Feb,Bella,38194,contents,1.12,54%,Dedu,MD,loss ratio>40%,has irpm,no action
6038,2012,Nov,Janice,49168,contents,1.65,48%,Ayikple,NJ,loss ratio>40%,has irpm,no action
6039,2011,Aug,Francis,37557,products,1.89,73%,Odeneho,TN,loss ratio>40%,has irpm,add debit
6040,2012,Mar,Priscilla,30098,building,1.96,29%,Ayikple,TN,,has irpm,add credit
6041,2014,Oct,Franca,26809,building,1.8,15%,Dedu,TN,,has irpm,add credit
6042,2012,Aug,Alex,43928,building,1.26,60%,Ayikple,VA,loss ratio>40%,has irpm,no action
6043,2013,Nov,Ama,9642,home,1.91,87%,Odeneho,SC,loss ratio>40%,has irpm,add debit
6044,2011,Jan,Adjoa,45585,auto,0.64,88%,Odeneho,KY,loss ratio>40%,has irpm,no action
6045,2014,Apr,Ben,19026,home,1.94,38%,Ayikple,FL,,has irpm,add credit
6046,2015,Jul,Dan,1653,products,1.55,29%,Odeneho,PA,,has irpm,add credit
6047,2014,Dec,Mina,14420,products,1.13,36%,Odeneho,SC,,has irpm,add credit
6048,2012,Dec,Abena,37858,building,1.58,72%,Ayikple,TN,loss ratio>40%,has irpm,add debit
6049,2014,Oct,David,3621,products,1.34,67%,Ayikple,MD,loss ratio>40%,has irpm,no action
6050,2012,Jun,Ekow,45827,building,1.61,65%,Ayikple,SC,loss ratio>40%,has irpm,no action
6051,2011,May,Kwasi,34073,auto,0.59,58%,Odeneho,MD,loss ratio>40%,has irpm,no action
6052,2012,Feb,Kwabena,27402,products,0.86,77%,Ayikple,MD,loss ratio>40%,has irpm,no action
6053,2010,Jan,Emefa,15753,building,1.06,96%,Ayikple,TN,loss ratio>40%,has irpm,add debit
6054,2010,Nov,Abbie,9878,home,0.96,19%,Odeneho,WI,,has irpm,add credit
6055,2011,Aug,Aseda,30044,building,1.03,95%,Ayikple,WI,loss ratio>40%,has irpm,add debit
6056,2012,Sep,Bella,18598,auto,1.02,22%,Dedu,SC,,has irpm,add credit
6057,2011,Jan,Janice,30627,home,0.93,22%,Dedu,VA,,has irpm,add credit
6058,2015,Apr,Francis,5250,products,0.71,44%,Ayikple,TN,loss ratio>40%,has irpm,no action
6059,2010,Dec,Priscilla,37916,products,1.59,35%,Dedu,MD,,has irpm,add credit
6060,2011,Jun,Franca,13885,home,1.9,40%,Dedu,FL,loss ratio>40%,has irpm,no action
6061,2012,Aug,Alex,12197,home,1.53,97%,Odeneho,PA,loss ratio>40%,has irpm,add debit
6062,2015,Mar,Ama,2698,products,1.29,34%,Dedu,WI,,has irpm,add credit
6063,2012,Mar,Adjoa,17412,contents,1.92,37%,Dedu,TX,,has irpm,add credit
6064,2012,Jan,Ben,30782,auto,1.42,15%,Dedu,WI,,has irpm,add credit
6065,2015,Jun,Dan,21690,building,0.94,68%,Dedu,MD,loss ratio>40%,has irpm,no action
6066,2011,Jun,Mina,30655,home,1.09,94%,Dedu,IL,loss ratio>40%,has irpm,add debit
6067,2014,Sep,Abena,39057,contents,0.87,18%,Dedu,NC,,has irpm,add credit
6068,2015,Mar,David,21970,contents,1.22,67%,Odeneho,NY,loss ratio>40%,has irpm,no action
6069,2010,Jun,Ekow,6950,building,0.56,57%,Odeneho,TX,loss ratio>40%,has irpm,no action
6070,2015,Jan,Kwasi,34630,auto,0.79,45%,Odeneho,NJ,loss ratio>40%,has irpm,no action
6071,2011,Oct,Kwabena,22380,building,1.96,10%,Dedu,MD,,has irpm,add credit
6072,2012,Apr,Emefa,15197,building,0.87,8%,Odeneho,FL,,has irpm,add credit
6073,2010,Jun,Abbie,11666,building,1.02,65%,Dedu,KY,loss ratio>40%,has irpm,no action
6074,2010,Sep,Aseda,10211,home,1,98%,Dedu,TN,loss ratio>40%,,no action
6075,2013,Jun,Bella,47621,home,0.53,71%,Ayikple,FL,loss ratio>40%,has irpm,no action
6076,2015,Oct,Janice,9097,building,1.01,57%,Ayikple,IL,loss ratio>40%,has irpm,no action
6077,2010,Aug,Francis,17419,products,1.88,57%,Dedu,SC,loss ratio>40%,has irpm,no action
6078,2012,Mar,Priscilla,20226,auto,1.82,24%,Dedu,NJ,,has irpm,add credit
6079,2015,Oct,Franca,9309,products,0.59,59%,Dedu,GA,loss ratio>40%,has irpm,no action
6080,2013,May,Alex,19377,auto,1.71,65%,Dedu,NY,loss ratio>40%,has irpm,no action
6081,2012,Oct,Ama,28078,contents,1.97,74%,Odeneho,SC,loss ratio>40%,has irpm,add debit
6082,2010,Jan,Adjoa,27046,contents,1.48,21%,Ayikple,MD,,has irpm,add credit
6083,2010,Aug,Ben,24841,home,1.75,79%,Dedu,TN,loss ratio>40%,has irpm,add debit
6084,2015,Dec,Dan,23654,building,1.03,20%,Odeneho,GA,,has irpm,add credit
6085,2010,Sep,Mina,44651,products,0.52,66%,Ayikple,TX,loss ratio>40%,has irpm,no action
6086,2011,Dec,Abena,45626,auto,1.78,51%,Ayikple,TN,loss ratio>40%,has irpm,no action
6087,2014,Nov,David,3362,building,1.83,35%,Ayikple,NY,,has irpm,add credit
6088,2014,Feb,Ekow,31648,contents,1.91,82%,Dedu,NC,loss ratio>40%,has irpm,add debit
6089,2012,May,Kwasi,10599,contents,2,39%,Odeneho,VA,,has irpm,add credit
6090,2015,Mar,Kwabena,9038,auto,1.01,54%,Ayikple,IL,loss ratio>40%,has irpm,no action
6091,2013,Nov,Emefa,17492,products,1,19%,Ayikple,SC,,,add credit
6092,2012,Jun,Abbie,17650,products,1.9,30%,Odeneho,NY,,has irpm,add credit
6093,2012,Oct,Aseda,23316,auto,0.51,22%,Odeneho,GA,,has irpm,add credit
6094,2013,Aug,Bella,6138,contents,1.27,20%,Ayikple,NJ,,has irpm,add credit
6095,2013,Aug,Janice,32029,home,0.9,54%,Dedu,NY,loss ratio>40%,has irpm,no action
6096,2015,Dec,Francis,5694,products,1.51,61%,Dedu,NY,loss ratio>40%,has irpm,no action
6097,2011,Jan,Priscilla,48210,home,1.83,34%,Dedu,MN,,has irpm,add credit
6098,2014,May,Franca,19233,contents,1.96,72%,Dedu,FL,loss ratio>40%,has irpm,add debit
6099,2012,Aug,Alex,27726,contents,1.74,22%,Dedu,TX,,has irpm,add credit
6100,2012,Mar,Ama,36995,home,1.69,41%,Ayikple,GA,loss ratio>40%,has irpm,no action
6101,2015,Jun,Adjoa,42259,home,1.94,82%,Ayikple,TX,loss ratio>40%,has irpm,add debit
6102,2011,Jul,Ben,17019,products,1.89,83%,Odeneho,IL,loss ratio>40%,has irpm,add debit
6103,2012,Mar,Dan,19451,auto,1.99,48%,Ayikple,NC,loss ratio>40%,has irpm,no action
6104,2011,Jun,Mina,48132,contents,0.95,10%,Odeneho,TN,,has irpm,add credit
6105,2013,Jan,Abena,17798,auto,1.39,70%,Ayikple,TN,loss ratio>40%,has irpm,no action
6106,2012,Feb,David,6566,home,1.54,74%,Odeneho,WI,loss ratio>40%,has irpm,add debit
6107,2014,Jan,Ekow,4795,auto,1.2,97%,Dedu,NJ,loss ratio>40%,has irpm,add debit
6108,2013,Jul,Kwasi,2832,auto,1.27,65%,Odeneho,NC,loss ratio>40%,has irpm,no action
6109,2011,Sep,Kwabena,1946,home,1.64,77%,Ayikple,PA,loss ratio>40%,has irpm,add debit
6110,2011,Jun,Emefa,39320,building,1.4,55%,Dedu,IL,loss ratio>40%,has irpm,no action
6111,2011,Apr,Abbie,32104,products,1.08,25%,Dedu,FL,,has irpm,add credit
6112,2011,Aug,Aseda,33614,home,0.58,64%,Odeneho,MD,loss ratio>40%,has irpm,no action
6113,2014,Mar,Bella,24126,auto,0.84,42%,Odeneho,NJ,loss ratio>40%,has irpm,no action
6114,2011,Nov,Janice,16378,products,1.62,7%,Odeneho,MD,,has irpm,add credit
6115,2011,Jul,Francis,8397,home,1.43,26%,Ayikple,IL,,has irpm,add credit
6116,2013,Dec,Priscilla,7442,building,1.31,61%,Odeneho,TN,loss ratio>40%,has irpm,no action
6117,2014,Dec,Franca,35935,products,1.48,71%,Dedu,MD,loss ratio>40%,has irpm,add debit
6118,2012,Oct,Alex,26143,auto,0.8,65%,Odeneho,NJ,loss ratio>40%,has irpm,no action
6119,2014,Sep,Ama,31574,building,1.84,37%,Ayikple,GA,,has irpm,add credit
6120,2013,Nov,Adjoa,10921,products,0.58,47%,Odeneho,KY,loss ratio>40%,has irpm,no action
6121,2012,Nov,Ben,7680,home,0.85,82%,Odeneho,SC,loss ratio>40%,has irpm,no action
6122,2014,Apr,Dan,38350,building,1.75,34%,Odeneho,IL,,has irpm,add credit
6123,2012,Jun,Mina,6513,home,1.12,65%,Ayikple,NC,loss ratio>40%,has irpm,no action
6124,2011,Nov,Abena,49703,building,1.06,49%,Ayikple,MN,loss ratio>40%,has irpm,no action
6125,2015,Jul,David,31426,building,0.56,88%,Odeneho,IL,loss ratio>40%,has irpm,no action
6126,2011,Feb,Ekow,31373,products,1.86,25%,Ayikple,VA,,has irpm,add credit
6127,2010,Jun,Kwasi,21911,contents,1.18,97%,Ayikple,NC,loss ratio>40%,has irpm,add debit
6128,2011,Jun,Kwabena,28016,products,1.13,61%,Odeneho,PA,loss ratio>40%,has irpm,no action
6129,2011,Apr,Emefa,40813,auto,1.01,98%,Odeneho,TN,loss ratio>40%,has irpm,add debit
6130,2011,Aug,Abbie,37362,contents,1.53,82%,Ayikple,FL,loss ratio>40%,has irpm,add debit
6131,2011,Oct,Aseda,39682,building,0.58,49%,Ayikple,PA,loss ratio>40%,has irpm,no action
6132,2010,Jul,Bella,47360,products,0.65,8%,Dedu,IL,,has irpm,add credit
6133,2011,May,Janice,42748,contents,1.21,24%,Dedu,NY,,has irpm,add credit
6134,2014,Jun,Francis,45509,auto,1.45,16%,Ayikple,FL,,has irpm,add credit
6135,2012,Mar,Priscilla,47718,contents,0.54,80%,Dedu,FL,loss ratio>40%,has irpm,no action
6136,2014,Apr,Franca,31778,contents,1.53,48%,Ayikple,KY,loss ratio>40%,has irpm,no action
6137,2015,Jun,Alex,13761,products,0.53,24%,Dedu,MN,,has irpm,add credit
6138,2015,Dec,Ama,26545,contents,0.9,89%,Odeneho,NC,loss ratio>40%,has irpm,no action
6139,2015,Apr,Adjoa,12061,building,1.68,96%,Odeneho,NC,loss ratio>40%,has irpm,add debit
6140,2015,Dec,Ben,39464,products,1.04,16%,Ayikple,NC,,has irpm,add credit
6141,2012,Aug,Dan,32608,building,1.59,6%,Dedu,MD,,has irpm,add credit
6142,2010,Nov,Mina,21991,contents,0.82,34%,Dedu,MN,,has irpm,add credit
6143,2010,Feb,Abena,15347,building,1.2,64%,Odeneho,NC,loss ratio>40%,has irpm,no action
6144,2011,Apr,David,26875,building,1.47,43%,Ayikple,PA,loss ratio>40%,has irpm,no action
6145,2010,Sep,Ekow,16204,auto,0.66,8%,Odeneho,NY,,has irpm,add credit
6146,2011,Jul,Kwasi,13189,home,1.62,93%,Dedu,SC,loss ratio>40%,has irpm,add debit
6147,2013,Mar,Kwabena,42985,building,0.66,53%,Odeneho,NY,loss ratio>40%,has irpm,no action
6148,2014,Feb,Emefa,33148,products,1.55,4%,Dedu,TX,,has irpm,add credit
6149,2011,Apr,Abbie,6263,products,1.85,0%,Odeneho,PA,,has irpm,add credit
6150,2011,Oct,Aseda,18493,contents,0.55,77%,Dedu,NJ,loss ratio>40%,has irpm,no action
6151,2011,Feb,Bella,5894,auto,1.09,0%,Odeneho,VA,,has irpm,add credit
6152,2015,Jun,Janice,46377,building,1.63,85%,Dedu,WI,loss ratio>40%,has irpm,add debit
6153,2013,Aug,Francis,12576,home,1.01,83%,Odeneho,NC,loss ratio>40%,has irpm,add debit
6154,2010,Jun,Priscilla,37440,home,1.9,89%,Ayikple,MD,loss ratio>40%,has irpm,add debit
6155,2011,Nov,Franca,7934,building,0.61,20%,Dedu,FL,,has irpm,add credit
6156,2012,Aug,Alex,17280,home,1.18,81%,Odeneho,VA,loss ratio>40%,has irpm,add debit
6157,2013,May,Ama,16864,contents,0.95,81%,Ayikple,TX,loss ratio>40%,has irpm,no action
6158,2013,Jul,Adjoa,48285,auto,1.66,57%,Odeneho,GA,loss ratio>40%,has irpm,no action
6159,2012,Feb,Ben,6849,home,1.79,79%,Odeneho,IL,loss ratio>40%,has irpm,add debit
6160,2010,Sep,Dan,32973,products,1.47,5%,Dedu,KY,,has irpm,add credit
6161,2015,Aug,Mina,11635,products,1.83,11%,Ayikple,MN,,has irpm,add credit
6162,2014,Aug,Abena,49277,building,1.85,58%,Ayikple,PA,loss ratio>40%,has irpm,no action
6163,2014,Jan,David,42792,home,1.06,34%,Dedu,SC,,has irpm,add credit
6164,2015,Dec,Ekow,8186,auto,1.86,22%,Odeneho,SC,,has irpm,add credit
6165,2013,Nov,Kwasi,37651,building,0.53,69%,Ayikple,MD,loss ratio>40%,has irpm,no action
6166,2011,Feb,Kwabena,28889,auto,0.82,29%,Odeneho,TX,,has irpm,add credit
6167,2011,May,Emefa,24157,contents,1.31,86%,Dedu,TX,loss ratio>40%,has irpm,add debit
6168,2012,Nov,Abbie,34668,products,1.68,39%,Dedu,SC,,has irpm,add credit
6169,2012,Apr,Aseda,12800,home,1.57,56%,Odeneho,MN,loss ratio>40%,has irpm,no action
6170,2015,Nov,Bella,49084,building,0.63,68%,Ayikple,VA,loss ratio>40%,has irpm,no action
6171,2012,Aug,Janice,6314,building,1.18,92%,Dedu,NY,loss ratio>40%,has irpm,add debit
6172,2011,Apr,Francis,15985,building,1.23,97%,Odeneho,IL,loss ratio>40%,has irpm,add debit
6173,2010,Nov,Priscilla,12123,auto,0.91,10%,Dedu,IL,,has irpm,add credit
6174,2011,Oct,Franca,13836,home,1.65,78%,Dedu,NY,loss ratio>40%,has irpm,add debit
6175,2010,Mar,Alex,30010,building,0.68,14%,Ayikple,FL,,has irpm,add credit
6176,2012,Dec,Ama,17861,auto,1.17,58%,Dedu,MD,loss ratio>40%,has irpm,no action
6177,2015,Jun,Adjoa,31696,auto,1.15,68%,Odeneho,MN,loss ratio>40%,has irpm,no action
6178,2014,Jul,Ben,2347,auto,1.18,94%,Odeneho,TX,loss ratio>40%,has irpm,add debit
6179,2010,May,Dan,33576,home,1.38,7%,Dedu,TN,,has irpm,add credit
6180,2013,Feb,Mina,47767,contents,1.8,46%,Dedu,VA,loss ratio>40%,has irpm,no action
6181,2012,Apr,Abena,23458,home,1.99,74%,Ayikple,PA,loss ratio>40%,has irpm,add debit
6182,2015,Apr,David,4499,contents,1.39,67%,Odeneho,TX,loss ratio>40%,has irpm,no action
6183,2012,Dec,Ekow,46964,home,1.79,4%,Ayikple,KY,,has irpm,add credit
6184,2011,Sep,Kwasi,28212,contents,0.82,56%,Odeneho,PA,loss ratio>40%,has irpm,no action
6185,2012,Jun,Kwabena,4383,products,0.75,74%,Ayikple,VA,loss ratio>40%,has irpm,no action
6186,2015,Nov,Emefa,39600,products,0.56,16%,Odeneho,VA,,has irpm,add credit
6187,2011,Jan,Abbie,47917,home,0.78,25%,Ayikple,FL,,has irpm,add credit
6188,2014,Feb,Aseda,27145,building,0.77,89%,Odeneho,GA,loss ratio>40%,has irpm,no action
6189,2010,Aug,Bella,36040,building,1.71,91%,Dedu,PA,loss ratio>40%,has irpm,add debit
6190,2012,Feb,Janice,2650,contents,1.69,54%,Dedu,FL,loss ratio>40%,has irpm,no action
6191,2013,Mar,Francis,20231,home,0.62,36%,Odeneho,NJ,,has irpm,add credit
6192,2014,Sep,Priscilla,6319,auto,1.6,32%,Odeneho,TN,,has irpm,add credit
6193,2015,Jun,Franca,46826,auto,1.9,85%,Odeneho,TX,loss ratio>40%,has irpm,add debit
6194,2015,Nov,Alex,49168,auto,0.53,71%,Odeneho,SC,loss ratio>40%,has irpm,no action
6195,2012,May,Ama,43445,products,0.9,78%,Odeneho,PA,loss ratio>40%,has irpm,no action
6196,2013,May,Adjoa,38823,auto,0.68,36%,Odeneho,MN,,has irpm,add credit
6197,2011,Oct,Ben,38581,auto,0.67,17%,Ayikple,MN,,has irpm,add credit
6198,2015,Mar,Dan,15813,home,1.07,56%,Ayikple,NJ,loss ratio>40%,has irpm,no action
6199,2014,Aug,Mina,45027,products,1.93,93%,Ayikple,PA,loss ratio>40%,has irpm,add debit
6200,2011,Oct,Abena,44916,products,0.62,89%,Dedu,IL,loss ratio>40%,has irpm,no action
6201,2014,Jul,David,22914,auto,1.17,30%,Dedu,TN,,has irpm,add credit
6202,2010,Jul,Ekow,8937,home,1.97,93%,Dedu,KY,loss ratio>40%,has irpm,add debit
6203,2014,Dec,Kwasi,16049,contents,0.87,50%,Ayikple,MD,loss ratio>40%,has irpm,no action
6204,2014,Aug,Kwabena,9647,home,1.57,65%,Dedu,MN,loss ratio>40%,has irpm,no action
6205,2013,Oct,Emefa,27754,home,0.77,58%,Dedu,NY,loss ratio>40%,has irpm,no action
6206,2013,Oct,Abbie,17230,auto,0.96,42%,Odeneho,NC,loss ratio>40%,has irpm,no action
6207,2010,Sep,Aseda,40752,auto,1.49,88%,Ayikple,PA,loss ratio>40%,has irpm,add debit
6208,2011,Aug,Bella,12638,home,1.09,80%,Dedu,NY,loss ratio>40%,has irpm,add debit
6209,2013,Jan,Janice,25498,building,1.33,63%,Odeneho,PA,loss ratio>40%,has irpm,no action
6210,2014,Mar,Francis,9410,contents,1.33,7%,Odeneho,VA,,has irpm,add credit
6211,2013,Jul,Priscilla,45656,contents,0.74,38%,Ayikple,MD,,has irpm,add credit
6212,2014,Mar,Franca,31087,building,1.55,44%,Ayikple,SC,loss ratio>40%,has irpm,no action
6213,2010,Jan,Alex,49849,auto,0.54,11%,Dedu,TX,,has irpm,add credit
6214,2015,Aug,Ama,27443,building,1.52,99%,Ayikple,NY,loss ratio>40%,has irpm,add debit
6215,2012,Dec,Adjoa,31104,contents,0.64,8%,Dedu,FL,,has irpm,add credit
6216,2011,Dec,Ben,19943,building,1.1,38%,Ayikple,MD,,has irpm,add credit
6217,2010,Sep,Dan,22104,auto,1.56,11%,Odeneho,IL,,has irpm,add credit
6218,2013,Sep,Mina,39517,contents,1.32,71%,Odeneho,VA,loss ratio>40%,has irpm,add debit
6219,2015,Jan,Abena,27490,products,1.44,87%,Dedu,PA,loss ratio>40%,has irpm,add debit
6220,2014,Jan,David,39789,products,0.88,28%,Dedu,PA,,has irpm,add credit
6221,2014,Jan,Ekow,16867,building,0.7,6%,Ayikple,KY,,has irpm,add credit
6222,2011,May,Kwasi,43202,auto,1.77,78%,Dedu,FL,loss ratio>40%,has irpm,add debit
6223,2015,Jun,Kwabena,37058,auto,0.62,94%,Odeneho,IL,loss ratio>40%,has irpm,no action
6224,2011,Jan,Emefa,8050,auto,0.89,59%,Odeneho,WI,loss ratio>40%,has irpm,no action
6225,2015,Mar,Abbie,39389,products,0.93,12%,Odeneho,GA,,has irpm,add credit
6226,2013,Feb,Aseda,37174,auto,1.02,41%,Odeneho,MD,loss ratio>40%,has irpm,no action
6227,2013,Mar,Bella,40511,products,1.55,71%,Dedu,KY,loss ratio>40%,has irpm,add debit
6228,2014,Oct,Janice,43984,building,1.95,80%,Ayikple,SC,loss ratio>40%,has irpm,add debit
6229,2012,Feb,Francis,8299,products,0.65,29%,Odeneho,SC,,has irpm,add credit
6230,2012,Jan,Priscilla,5226,home,1.18,17%,Dedu,KY,,has irpm,add credit
6231,2011,Oct,Franca,19881,auto,0.6,92%,Dedu,NJ,loss ratio>40%,has irpm,no action
6232,2014,Sep,Alex,33067,contents,1.11,53%,Dedu,SC,loss ratio>40%,has irpm,no action
6233,2010,Apr,Ama,7801,products,1.5,46%,Ayikple,SC,loss ratio>40%,has irpm,no action
6234,2013,Sep,Adjoa,32715,home,1.04,64%,Odeneho,NC,loss ratio>40%,has irpm,no action
6235,2014,Feb,Ben,3612,building,1.94,12%,Dedu,NJ,,has irpm,add credit
6236,2015,Oct,Dan,34014,contents,1.44,35%,Odeneho,WI,,has irpm,add credit
6237,2014,Sep,Mina,25425,building,1.93,88%,Odeneho,VA,loss ratio>40%,has irpm,add debit
6238,2013,Sep,Abena,25067,building,1.42,2%,Odeneho,VA,,has irpm,add credit
6239,2011,Jan,David,19531,auto,0.58,2%,Dedu,MD,,has irpm,add credit
6240,2013,Apr,Ekow,39849,contents,1.65,52%,Ayikple,KY,loss ratio>40%,has irpm,no action
6241,2015,Aug,Kwasi,3681,contents,1.86,18%,Odeneho,TX,,has irpm,add credit
6242,2014,Aug,Kwabena,39723,home,1.48,65%,Ayikple,NC,loss ratio>40%,has irpm,no action
6243,2010,Jan,Emefa,13638,home,0.66,47%,Ayikple,GA,loss ratio>40%,has irpm,no action
6244,2014,Jan,Abbie,12474,contents,0.66,39%,Odeneho,MN,,has irpm,add credit
6245,2011,Jul,Aseda,3893,home,1.78,24%,Ayikple,FL,,has irpm,add credit
6246,2013,Mar,Bella,14783,products,1.57,28%,Dedu,TX,,has irpm,add credit
6247,2010,Aug,Janice,43572,contents,1.65,49%,Dedu,NJ,loss ratio>40%,has irpm,no action
6248,2012,Jul,Francis,34912,home,1.34,35%,Ayikple,NY,,has irpm,add credit
6249,2014,Oct,Priscilla,44506,home,1.76,4%,Odeneho,MD,,has irpm,add credit
6250,2011,Dec,Franca,49945,home,0.87,98%,Dedu,PA,loss ratio>40%,has irpm,no action
6251,2013,Apr,Alex,8792,contents,1.72,1%,Odeneho,WI,,has irpm,add credit
6252,2011,Oct,Ama,9229,home,1.79,12%,Dedu,GA,,has irpm,add credit
6253,2012,Dec,Adjoa,13884,auto,1.39,32%,Ayikple,TX,,has irpm,add credit
6254,2012,May,Ben,23100,products,1.99,66%,Dedu,NJ,loss ratio>40%,has irpm,no action
6255,2012,Aug,Dan,27190,auto,0.75,51%,Dedu,SC,loss ratio>40%,has irpm,no action
6256,2012,Dec,Mina,8499,auto,1.18,83%,Dedu,NC,loss ratio>40%,has irpm,add debit
6257,2012,Aug,Abena,9976,contents,2,32%,Dedu,SC,,has irpm,add credit
6258,2012,Aug,David,39199,auto,1.2,40%,Ayikple,IL,loss ratio>40%,has irpm,no action
6259,2012,Mar,Ekow,34008,home,0.52,13%,Odeneho,VA,,has irpm,add credit
6260,2013,Feb,Kwasi,41384,contents,0.8,77%,Ayikple,NJ,loss ratio>40%,has irpm,no action
6261,2015,Feb,Kwabena,13500,contents,1.39,49%,Odeneho,NC,loss ratio>40%,has irpm,no action
6262,2010,Jul,Emefa,45168,contents,1.97,82%,Dedu,NY,loss ratio>40%,has irpm,add debit
6263,2014,Jan,Abbie,5041,auto,1.75,74%,Ayikple,MD,loss ratio>40%,has irpm,add debit
6264,2014,Apr,Aseda,27843,products,1.28,13%,Dedu,NC,,has irpm,add credit
6265,2013,Dec,Bella,25227,building,1.72,64%,Odeneho,MN,loss ratio>40%,has irpm,no action
6266,2014,Apr,Janice,21911,auto,1.81,20%,Dedu,IL,,has irpm,add credit
6267,2012,Dec,Francis,30344,auto,1.17,89%,Odeneho,WI,loss ratio>40%,has irpm,add debit
6268,2010,Nov,Priscilla,45550,home,1.33,10%,Odeneho,NY,,has irpm,add credit
6269,2010,Mar,Franca,7960,products,1.44,43%,Ayikple,SC,loss ratio>40%,has irpm,no action
6270,2012,Apr,Alex,49241,contents,1.75,35%,Dedu,KY,,has irpm,add credit
6271,2010,May,Ama,42952,products,1.47,82%,Dedu,IL,loss ratio>40%,has irpm,add debit
